"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE900348074513;An de Geest, 21149 Hamburg;10,8;8,5;17.12.2018;23.04.2019;Hamburg;21149;Hamburg;40.0;West;17.12.2018;[53.467191, 9.8560631];4039
SEE929867856455;An de Geest, 21149 Hamburg;9,72;8,5;17.12.2018;23.04.2019;Hamburg;21149;Hamburg;36.0;West;17.12.2018;[53.467191, 9.8560631];4039
SEE958817432357;An de Geest, 21149 Hamburg;8,64;8,5;17.12.2018;23.04.2019;Hamburg;21149;Hamburg;32.0;West;17.12.2018;[53.467191, 9.8560631];4039
SEE936351367885;Bohnhoff, Sven - Reithalle 81,00 kWp;81;75;26.01.2011;14.10.2019;Hamburg;22395;Hamburg;450.0;SÃ¼d;26.01.2011;[53.6667313, 10.1165789];4039
SEE951189456662;Solaranlage Hoick;29,6;29,6;16.12.2011;23.04.2019;Hamburg;21109;Hamburg;370.0;SÃ¼d;16.12.2011;[53.550341, 10.000654];4039
SEE940450526746;Hausdach;7,2;7,2;30.11.2012;23.04.2019;Hamburg;22359;Hamburg;30.0;SÃ¼d-West;30.11.2012;[53.655975, 10.1629858];4039
SEE995640787858;DE016011 - Hamburg Sieker LandstraÃe;143,64;143,64;02.11.2018;25.04.2019;Hamburg;22143;Hamburg;532.0;West;02.11.2018;[53.6065558, 10.1637302];4039
SEE996341094016;Hausdach;7,84;7;23.05.2019;29.05.2019;Hamburg;22589;Hamburg;26.0;West;23.05.2019;[53.5780697, 9.8129384];4039
SEE923821238394;Hausdach Marderstraat 15;2,1;2;08.09.1997;26.04.2019;Hamburg;22399;Hamburg;28.0;SÃ¼d;08.09.1997;[53.6638384, 10.0722229];4039
SEE957022412338;DE016031 - Hamburg Querkamp;164,08;135,5;24.11.2017;26.04.2019;Hamburg;22119;Hamburg;586.0;Nord-Ost;24.11.2017;[53.550341, 10.000654];4039
SEE942356151558;DE016015 - Hamburg Langhorner Chaussee;99,84;80;11.08.2017;26.04.2019;Hamburg;22419;Hamburg;384.0;SÃ¼d;24.10.2017;[53.550341, 10.000654];4039
SEE928994263525;HOF;8,94;8,94;27.03.2019;26.04.2019;Hamburg;21037;Hamburg;40.0;Ost;27.03.2019;[53.4351527, 10.1484351];4039
SEE978828960083;Hausdach;5,47;5;28.09.2007;26.04.2019;Hamburg;22397;Hamburg;24.0;SÃ¼d;28.09.2007;[53.6922599, 10.1080226];4039
SEE956884045319;Hausdach;4,2;4,2;29.08.2017;28.04.2019;Hamburg;22549;Hamburg;14.0;Ost;29.08.2017;[53.5846012, 9.8593302];4039
SEE951041649126;Solaranlage_Hausdach;6,13;6,13;15.02.2013;28.04.2019;Hamburg;22393;Hamburg;25.0;SÃ¼d-West;15.02.2013;[53.6477044, 10.1151804];4039
SEE977760362610;Hausdach;3,35;3;15.11.2016;28.04.2019;Hamburg;22415;Hamburg;10.0;SÃ¼d;15.11.2016;[53.550341, 10.000654];4039
SEE931606223848;Hausdach;1,92;1,92;27.11.2009;28.04.2019;Hamburg;21077;Hamburg;8.0;SÃ¼d;27.11.2009;[53.550341, 10.000654];4039
SEE920475843004;Hausdach;3,22;3;24.08.2010;11.05.2020;Hamburg;21077;Hamburg;14.0;SÃ¼d;24.08.2010;[53.550341, 10.000654];4039
SEE997260716126;Jeti Sonnenstrom;1,05;1,05;19.05.2009;29.04.2019;Hamburg;22397;Hamburg;14.0;SÃ¼d;19.05.2009;[53.6922599, 10.1080226];4039
