STATIONS_ID;MESS_DATUM;QN_8;FX_911;eor
       4919;2020060616;    3;  13.4;eor
       4919;2020060617;    3;  15.4;eor
       4919;2020060618;    3;  14.4;eor
       4919;2020060619;    3;  11.1;eor
       4919;2020060620;    3;  10.1;eor
       4919;2020060621;    3;   6.9;eor
       4919;2020060622;    3;   6.2;eor
       4919;2020060623;    3;   4.9;eor
       4919;2020060700;    3;   5.7;eor
       4919;2020060701;    3;   7.6;eor
       4919;2020060702;    3;   7.7;eor
       4919;2020060703;    3;   8.4;eor
       4919;2020060704;    3;   9.9;eor
       4919;2020060705;    3;   7.9;eor
       4919;2020060706;    3;  10.4;eor
       4919;2020060707;    3;  10.9;eor
       4919;2020060708;    3;  11.5;eor
       4919;2020060709;    3;  12.0;eor
       4919;2020060710;    3;  12.2;eor
       4919;2020060711;    3;  11.1;eor
       4919;2020060712;    3;  12.2;eor
       4919;2020060713;    3;  13.8;eor
       4919;2020060714;    3;  17.4;eor
       4919;2020060715;    3;  11.1;eor
       4919;2020060716;    3;   9.3;eor
       4919;2020060717;    3;  11.4;eor
       4919;2020060718;    3;  11.7;eor
       4919;2020060719;    3;  11.1;eor
       4919;2020060720;    3;  10.6;eor
       4919;2020060721;    3;   9.3;eor
       4919;2020060722;    3;   7.4;eor
       4919;2020060723;    3;   6.5;eor
       4919;2020060800;    3;   6.8;eor
       4919;2020060801;    3;   6.2;eor
       4919;2020060802;    3;   7.1;eor
       4919;2020060803;    3;   7.3;eor
       4919;2020060804;    3;   6.7;eor
       4919;2020060805;    3;   6.9;eor
       4919;2020060806;    3;   6.1;eor
       4919;2020060807;    3;   6.3;eor
       4919;2020060808;    3;   6.1;eor
       4919;2020060809;    3;   6.1;eor
       4919;2020060810;    3;   6.0;eor
       4919;2020060811;    3;   7.1;eor
       4919;2020060812;    3;   6.4;eor
       4919;2020060813;    3;   9.2;eor
       4919;2020060814;    3;  11.2;eor
       4919;2020060815;    3;  11.3;eor
       4919;2020060816;    3;  11.7;eor
       4919;2020060817;    3;  11.1;eor
       4919;2020060818;    3;  10.0;eor
       4919;2020060819;    3;  11.1;eor
       4919;2020060820;    3;   9.6;eor
       4919;2020060821;    3;   7.9;eor
       4919;2020060822;    3;   7.7;eor
       4919;2020060823;    3;   6.8;eor
       4919;2020060900;    3;   6.8;eor
       4919;2020060901;    3;   6.6;eor
       4919;2020060902;    3;   6.0;eor
       4919;2020060903;    3;   5.2;eor
       4919;2020060904;    3;   2.5;eor
       4919;2020060905;    3;   2.5;eor
       4919;2020060906;    3;   2.5;eor
       4919;2020060907;    3;   6.0;eor
       4919;2020060908;    3;   5.3;eor
       4919;2020060909;    3;   5.2;eor
       4919;2020060910;    3;   4.7;eor
       4919;2020060911;    3;   4.2;eor
       4919;2020060912;    3;   6.7;eor
       4919;2020060913;    3;   6.7;eor
       4919;2020060914;    3;   6.4;eor
       4919;2020060915;    3;   6.4;eor
       4919;2020060916;    3;   6.7;eor
       4919;2020060917;    3;   6.0;eor
       4919;2020060918;    3;   6.4;eor
       4919;2020060919;    3;   7.4;eor
       4919;2020060920;    3;   7.7;eor
       4919;2020060921;    3;   7.4;eor
       4919;2020060922;    3;   7.2;eor
       4919;2020060923;    3;   6.6;eor
       4919;2020061000;    3;   7.0;eor
       4919;2020061001;    3;   7.0;eor
       4919;2020061002;    3;   6.5;eor
       4919;2020061003;    3;   6.1;eor
       4919;2020061004;    3;   5.7;eor
       4919;2020061005;    3;   4.0;eor
       4919;2020061006;    3;   4.4;eor
       4919;2020061007;    3;   3.3;eor
