ID;KreisPot;KreisVor;StadtPot;StadtVor;haPot;haVor;Coords;Wetter-ID
PR3_LAU_316;Herzogtum Lauenburg;-;Müssen;-;35.1;-;[53.4953546, 10.5641674];1736
PR3_LAU_317;Herzogtum Lauenburg;-;Gülzow, Müssen;-;39.8;-;[53.4686167, 10.5272901];1736
PR3_LAU_318;Herzogtum Lauenburg;-;Brunstorf;-;65.1;-;[53.4930155, 10.4245876];1736
PR3_LAU_319;Herzogtum Lauenburg;-;Kollow;-;26. Feb;-;[53.4635666, 10.4590996];1736
PR3_LAU_320;Herzogtum Lauenburg;-;Worth;-;43.6;-;[53.4684056, 10.4092105];1736
PR3_LAU_402;Herzogtum Lauenburg;-;Groß Schenkenberg;-;19. Apr;-;[53.7933405, 10.5667695];3086
PR3_LAU_403;Herzogtum Lauenburg;-;Geesthacht, Wiershop;-;27. Sep;-;[53.4406229, 10.4101209];1736
PR3_LAU_404;Herzogtum Lauenburg;-;Krummesse, Lübeck, Hansestadt;-;67.0;-;[53.837732, 10.6628364];3086
PR3_LAU_501;Herzogtum Lauenburg;-;Krüzen;-;18. Aug;-;[53.4021848, 10.5267557];1736
PR1_NFL_002;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Ellhöft, Süderlügum;219.3;171,4;[54.8797942, 8.9304493];2907
PR1_NFL_003;Nordfriesland;Nordfriesland;Ellhöft, Westre;Ellhöft, Westre;238.9;186,5;[54.8706236, 8.9696339];2907
PR1_NFL_006;Nordfriesland;Nordfriesland;Ellhöft, Süderlügum;Süderlügum;49.2;31;[54.8797942, 8.9304493];2907
PR1_NFL_009;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;41.2;41,2;[54.8622866, 8.6540733];2907
PR1_NFL_014;Nordfriesland;Nordfriesland;Friedrich-Wilhelm-Lübke-Koog, Klanxbüll;Friedrich-Wilhelm-Lübke-Koog,Klanxbüll;42.3;42,3;[54.8622866, 8.6540733];2907
PR1_NFL_017;Nordfriesland;-;Karlum, Lexgaard, Westre;-;52.5;-;[54.8383166, 8.9654483];2907
