KREIS;GEMEINDE;TYP;MODELL;HERSTELLER;NABENHOEHE;ROTORDURCHMESSER;SCHALLLEISTUNGSPEGEL;LEISTUNG;LEISTUNGSBEZUG;OSTWERT (EPSG:4647);NORDWERT (EPSG:4647);GENEHMIGT_AM;INBETRIEBNAHME;STATUS;BST_NR;ANL_NR;DATENDATUM;DATENQUELLE;BETREIBER;Coords;Wetter-ID
HH;Neuland;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;;2003.0;;;;;;Naturstrom;[53.4681548, 10.0309606];4039
HH;Neuland;Enercon E-40/5.40;Enercon E-70 E4/2000;Enercon;;;;500.0;kW Nennleist. Rotor.;32568015.0;5924024.0;;2003.0;;;;;;Naturstrom;[53.4681548, 10.0309606];4039
HH;Ochsenwerder;NEG Micon NM48/600;Enercon E-70 E4/2000;MNEG Micon;;;;600.0;kW Nennleist. Rotor.;32572613.0;5923722.0;;1998.0;;;;;;NET OHG;[53.4752031, 10.0810767];4039
HH;Ochsenwerder;NEG Micon NM48/600;Enercon E-70 E4/2000;MNEG Micon;;;;600.0;kW Nennleist. Rotor.;32572613.0;5923722.0;;1998.0;;;;;;NET OHG;[53.4752031, 10.0810767];4039
HH;Ochsenwerder;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;;2018.0;;;;;;NET OHG;[53.4752031, 10.0810767];4039
HH;Ochsenwerder;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;;2018.0;;;;;;NET OHG;[53.4752031, 10.0810767];4039
HH;Ochsenwerder;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;;2018.0;;;;;;NET OHG;[53.4752031, 10.0810767];4039
HH;Ochsenwerder;Nordex N117/2400;Enercon E-70 E4/2000;Nordex;;;;2400.0;kW Nennleist. Rotor.;32572613.0;5923722.0;;2018.0;;;;;;NET OHG;[53.4752031, 10.0810767];4039
HH;Trimet;Siemens SWT-3.0-113;Enercon E-70 E4/2000;Siemens;;;;3000.0;kW Nennleist. Rotor.;32559370.0;5929410.0;;2016.0;;;;;;Notus Energy;[53.5127251, 9.8881836];4039
HH;Trimet;Siemens SWT-3.0-113;Enercon E-70 E4/2000;Siemens;;;;3000.0;kW Nennleist. Rotor.;32559370.0;5929410.0;;2016.0;;;;;;Notus Energy;[53.5127251, 9.8881836];4039
HH;Trimet;Siemens SWT-3.0-113;Enercon E-70 E4/2000;Siemens;;;;3000.0;kW Nennleist. Rotor.;32559370.0;5929410.0;;2016.0;;;;;;Notus Energy;[53.5127251, 9.8881836];4039
HH;Waltershof;Nordex N117/3000;Enercon E-70 E4/2000;Nordex;;;;3000.0;kW Nennleist. Rotor.;32559838.0;5930312.0;;2017.0;;;;;;Hamburg Energie;[53.5196541, 9.9109317];4039
HH;Waltershof;Nordex N117/3000;Enercon E-70 E4/2000;Nordex;;;;3000.0;kW Nennleist. Rotor.;32559838.0;5930312.0;;2017.0;;;;;;Hamburg Energie;[53.5196541, 9.9109317];4039
HH;Waltershof;Nordex N117/3000;Enercon E-70 E4/2000;Nordex;;;;3000.0;kW Nennleist. Rotor.;32559838.0;5930312.0;;2017.0;;;;;;Hamburg Energie;[53.5196541, 9.9109317];4039
